Date and time; Temperature °C; RH %; DewPoint °C; CO2 ppm
9-3-2023 15:17:00;"21,220";"26,587";" 1,302";N/A
9-3-2023 15:17:15;"21,230";"26,550";" 1,292";"537,000"
9-3-2023 15:17:30;"21,241";"26,508";" 1,278";"537,000"
9-3-2023 15:17:45;"21,241";"26,489";" 1,268";"537,000"
9-3-2023 15:18:00;"21,241";"26,453";" 1,249";"537,000"
9-3-2023 15:18:15;"21,261";"26,453";" 1,266";"537,000"
9-3-2023 15:18:30;"21,261";"26,410";" 1,244";"537,000"
9-3-2023 15:18:45;"21,271";"26,355";" 1,224";"537,000"
9-3-2023 15:19:00;"21,261";"26,355";" 1,215";"537,000"
9-3-2023 15:19:15;"21,271";"26,331";" 1,211";"534,000"
9-3-2023 15:19:30;"21,271";"26,331";" 1,211";"534,000"
9-3-2023 15:19:45;"21,271";"26,331";" 1,202";"534,000"
9-3-2023 15:20:00;"21,271";"26,331";" 1,211";"534,000"
9-3-2023 15:20:15;"21,261";"26,331";" 1,202";"534,000"
9-3-2023 15:20:30;"21,261";"26,312";" 1,193";"534,000"
9-3-2023 15:20:45;"21,261";"26,294";" 1,183";"534,000"
9-3-2023 15:21:00;"21,261";"26,312";" 1,193";"534,000"
9-3-2023 15:21:15;"21,271";"26,294";" 1,173";"527,000"
9-3-2023 15:21:30;"21,271";"26,276";" 1,182";"527,000"
9-3-2023 15:21:45;"21,261";"26,251";" 1,161";"527,000"
9-3-2023 15:22:00;"21,241";"26,251";" 1,143";"527,000"
9-3-2023 15:22:15;"21,241";"26,251";" 1,143";"527,000"
9-3-2023 15:22:30;"21,261";"26,251";" 1,161";"527,000"
9-3-2023 15:22:45;"21,241";"26,251";" 1,143";"527,000"
9-3-2023 15:23:00;"21,241";"26,215";" 1,124";"527,000"
9-3-2023 15:23:15;"21,261";"26,233";" 1,151";"524,000"
9-3-2023 15:23:30;"21,241";"26,196";" 1,114";"524,000"
9-3-2023 15:23:45;"21,241";"26,178";" 1,105";"524,000"
9-3-2023 15:24:00;"21,241";"26,215";" 1,132";"524,000"
9-3-2023 15:24:15;"21,241";"26,215";" 1,124";"524,000"
9-3-2023 15:24:30;"21,241";"26,233";" 1,134";"524,000"
9-3-2023 15:24:45;"21,241";"26,233";" 1,151";"524,000"
9-3-2023 15:25:00;"21,230";"26,233";" 1,125";"524,000"
9-3-2023 15:25:15;"21,241";"26,233";" 1,134";"510,000"
9-3-2023 15:25:30;"21,261";"26,215";" 1,141";"510,000"
9-3-2023 15:25:45;"21,241";"26,233";" 1,134";"510,000"
9-3-2023 15:26:00;"21,241";"26,215";" 1,124";"510,000"
